Date,Close/Last,Volume,Open,High,Low
01/09/2019,$17.83,24520130,$17.6,$19.35,$17.56
01/08/2019,$17.56,34150160,$16.79,$17.56,$15.78
01/07/2019,$18.95,35102730,$18.5,$20.2,$17.96
01/04/2019,$24.4,8873949,$23.84,$24.83,$23.84
01/03/2019,$23.95,5383559,$23.85,$24.2,$23.41
01/02/2019,$23.8,8590896,$23.55,$24.47,$23.3
12/31/2018,$23.75,7694761,$23.23,$24.23,$23.15
12/28/2018,$23.89,7076941,$23.58,$24.43,$23.25
12/27/2018,$23.6,6302643,$23.18,$23.6,$22.6
12/26/2018,$23.33,6859482,$23.18,$23.35,$21.88
12/24/2018,$23.15,6053941,$22.35,$23.6,$22.3
12/21/2018,$22.75,13697620,$23.8,$24.27,$22.32
12/20/2018,$23.85,10665530,$23.63,$24.29,$22.95
12/19/2018,$23.75,14258700,$23.09,$24.055,$22.8002
12/18/2018,$23.02,11148590,$24.35,$24.72,$22.96
12/17/2018,$24.44,15782620,$24.45,$24.99,$24.13
12/14/2018,$26.01,12057830,$26.58,$27.38,$25.68
12/13/2018,$26.51,7012725,$26.4,$26.93,$26.1
12/12/2018,$26.39,6208440,$25.45,$26.92,$25.26
12/11/2018,$26.06,4839632,$26,$26.35,$25.35
12/10/2018,$25.89,7141282,$25.42,$25.96,$24.81
12/07/2018,$25.79,6837081,$26.01,$26.68,$25.73
12/06/2018,$26.03,9346141,$26.57,$26.65,$25.43
12/04/2018,$26.75,6472626,$27.15,$27.34,$26.33
12/03/2018,$27.11,6686407,$26.3,$27.31,$26.1
11/30/2018,$26.38,9689928,$26.81,$26.99,$26.02
11/29/2018,$26.76,10090000,$27.1,$27.595,$26.22
11/28/2018,$27.46,12941710,$27.52,$27.52,$26.29
11/27/2018,$26.97,19111000,$25.56,$27,$24.96
11/26/2018,$25.12,9618166,$23.52,$25.16,$23.34
11/23/2018,$23.84,5736493,$24.07,$24.08,$23.26
11/21/2018,$24.3,10687410,$23.64,$24.55,$23.64
11/20/2018,$23.51,16228950,$24.167,$24.41,$23.08
11/19/2018,$23.26,22739450,$22.37,$23.39,$21.54
11/16/2018,$24.4,54636560,$25.205,$25.51,$23.01
11/15/2018,$17.74,105675100,$24.01,$24.18,$17.26
11/14/2018,$25.59,52722330,$26.95,$29.2,$22.35
11/13/2018,$32.72,17835800,$32.6,$33.26,$30.76
11/12/2018,$32.98,44028270,$33.16,$35.15,$24.95
11/09/2018,$39.92,23574750,$44.48,$44.58,$39.79
11/08/2018,$47.8,7939972,$48.96,$49.24,$47.06
11/07/2018,$48.8,3837005,$48.68,$49.42,$48.45
11/06/2018,$48.58,5332856,$48.9,$48.93,$47.93
11/05/2018,$48.71,4423190,$47.95,$48.84,$47.6
11/02/2018,$47.44,3624372,$47.46,$47.59,$46.76
11/01/2018,$47.18,4194661,$46.84,$47.35,$46.56
10/31/2018,$46.81,3367552,$46.77,$47.4544,$46.27
10/30/2018,$46.93,4618836,$47.09,$47.31,$46.27
10/29/2018,$46.78,3870101,$46.5,$47.34,$46.31
10/26/2018,$46.29,4348724,$47.47,$47.62,$45.84
10/25/2018,$47.37,3646577,$47.04,$47.71,$46.66
10/24/2018,$47.24,4349627,$47.69,$47.9,$47.22
10/23/2018,$47.29,4676782,$47.72,$47.91,$46.9
10/22/2018,$47.78,2825285,$48.8,$48.86,$47.61
10/19/2018,$48.85,5739956,$48.24,$49,$48.22
10/18/2018,$48.24,3981622,$48.93,$49.09,$47.83
10/17/2018,$48.96,4522083,$48.7,$49.105,$48.48
10/16/2018,$48.79,6036475,$47.82,$48.935,$47.54
10/15/2018,$47.84,4434343,$47.31,$48.19,$47.14
10/12/2018,$47.27,3983281,$46.77,$47.39,$46.452
10/11/2018,$46.62,5819178,$47.8,$47.92,$46.52
10/10/2018,$47.65,3989692,$48.18,$48.6159,$47.59
10/09/2018,$48.55,6681779,$48.04,$48.85,$47.83
10/08/2018,$47.92,4573475,$48.24,$48.24,$47.655
10/05/2018,$47.95,6327406,$47.19,$48.21,$47.14
10/04/2018,$46.99,3340644,$47,$47.2,$46.26
10/03/2018,$47.2,5015689,$47.49,$47.79,$46.88
10/02/2018,$47.42,4832913,$46.23,$47.54,$46.0182
10/01/2018,$45.87,5866480,$46.11,$46.12,$45.27
09/28/2018,$46.01,4940550,$45.43,$46.09,$45.05
09/27/2018,$45.27,4946969,$45.31,$45.63,$44.89
09/26/2018,$45.16,5433400,$45.44,$45.69,$45.08
09/25/2018,$45.84,3367330,$46.23,$46.33,$45.7
09/24/2018,$46.28,4415710,$46.7,$46.9,$46.12
09/21/2018,$46.79,8613588,$46.81,$48.36,$46.65
09/20/2018,$46.92,3882313,$46.86,$47,$46.5
09/19/2018,$46.71,5853869,$47.07,$47.2,$46.435
09/18/2018,$47.2,3182002,$46.87,$47.22,$46.72
09/17/2018,$46.82,3531533,$46.98,$47.27,$46.66
09/14/2018,$46.97,8398256,$46.71,$47.1,$46.21
09/13/2018,$46.52,3818635,$46.03,$46.63,$45.71
09/12/2018,$45.91,9258551,$46.13,$46.535,$45.79
09/11/2018,$46.29,4439551,$46,$46.355,$45.79
09/10/2018,$46.25,2866033,$45.79,$46.46,$45.5904
09/07/2018,$45.78,6026154,$45.07,$45.91,$45.04
09/06/2018,$45.53,13180110,$47.17,$47.19,$45.085
09/05/2018,$47,4501002,$46.74,$47.2,$46.41
09/04/2018,$47.01,11537580,$48.21,$48.69,$46.91
08/31/2018,$46.18,9362462,$47.08,$47.47,$45.5
08/30/2018,$47.02,8926223,$47.07,$48.09,$46.59
08/29/2018,$46.9,16217400,$46.64,$47.47,$45.89
08/28/2018,$45.67,10255820,$44.09,$46.1056,$43.71
08/27/2018,$43.61,6507003,$43.75,$43.89,$43.09
08/24/2018,$42.81,8513989,$44.03,$44.1,$42.3531
08/23/2018,$43.96,5983075,$44.58,$44.8,$43.855
08/22/2018,$44.6,7061642,$44.79,$45.37,$44.24
08/21/2018,$44.7,5774292,$44.93,$45.46,$44.52
08/20/2018,$44.78,10916280,$45,$45.71,$43.43
08/17/2018,$45.25,8234606,$44.65,$45.87,$44.29
08/16/2018,$44.79,5798318,$43.73,$44.86,$43.515
08/15/2018,$43.47,5540805,$43.05,$44.01,$42.87
08/14/2018,$42.84,5269514,$42.7,$43.24,$42.69
08/13/2018,$42.79,7826917,$42.61,$42.84,$42.36
08/10/2018,$42.67,7664512,$43.72,$43.74,$42.59
08/09/2018,$43.9,3382347,$43.95,$44.06,$43.39
08/08/2018,$44.09,3755144,$43.52,$44.33,$43.25
08/07/2018,$43.66,4723023,$44.62,$44.81,$43.48
